gid,avg_score,watch_times
408,4.491071428571429,112
318,4.466442953020135,298
169,4.466101694915254,118
483,4.45679012345679,243
114,4.447761194029851,67
64,4.445229681978798,283
603,4.3875598086124405,209
12,4.385767790262173,267
50,4.3584905660377355,583
178,4.344,125
513,4.333333333333333,72
134,4.292929292929293,198
963,4.2926829268292686,41
427,4.292237442922374,219
357,4.291666666666667,264
98,4.28974358974359,390
480,4.284916201117318,179
127,4.283292978208232,413
285,4.265432098765432,162
272,4.262626262626263,198
251,4.260869565217392,46
657,4.259541984732825,131
474,4.252577319587629,194
174,4.252380952380952,420
479,4.251396648044692,179
313,4.2457142857142856,350
511,4.23121387283237,173
641,4.212121212121212,33
484,4.2101449275362315,138
172,4.204359673024523,367
515,4.203980099502488,201
488,4.2,65
223,4.198529411764706,136
316,4.196428571428571,112
966,4.1923076923076925,26
187,4.186602870813397,209
498,4.184210526315789,152
199,4.175757575757576,165
170,4.1735537190082646,121
173,4.172839506172839,324
191,4.163043478260869,276
302,4.161616161616162,297
100,4.155511811023622,508
923,4.155172413793103,58
22,4.151515151515151,297
493,4.15,60
89,4.138181818181818,275
190,4.137096774193548,124
654,4.136054421768708,147
528,4.132231404958677,121
1007,4.127659574468085,47
136,4.123809523809523,105
496,4.121212121212121,231
23,4.1208791208791204,182
166,4.120689655172414,58
192,4.120689655172414,116
489,4.115384615384615,52
478,4.115384615384615,104
165,4.109375,64
189,4.106060606060606,66
520,4.104838709677419,124
197,4.104602510460251,239
487,4.102941176470588,68
661,4.1022727272727275,88
185,4.100418410041841,239
1169,4.1,10
315,4.1,160
647,4.1,70
611,4.1,40
519,4.1,80
48,4.094017094017094,117
659,4.078260869565217,115
132,4.0772357723577235,246
651,4.076023391812866,171
168,4.0664556962025316,316
1194,4.064516129032258,31
83,4.0625,176
56,4.060913705583756,394
59,4.0602409638554215,83
194,4.058091286307054,241
633,4.057971014492754,69
124,4.053475935828877,187
615,4.0508474576271185,59
45,4.05,80
320,4.05,20
1203,4.0476190476190474,21
606,4.045454545454546,66
694,4.045454545454546,44
1142,4.045454545454546,44
180,4.04524886877828,221
79,4.044642857142857,336
613,4.037037037037037,27
183,4.034364261168385,291
648,4.029850746268656,67
709,4.028846153846154,104
525,4.027397260273973,73
530,4.025,80
589,4.023255813953488,43
524,4.021739130434782,46
527,4.02051282051282,195
490,4.02,50
60,4.015625,64
604,4.012345679012346,81
275,4.0111940298507465,268
1039,4.011111111111111,90
181,4.007889546351085,507
198,4.0078740157480315,127
96,4.0067796610169495,295
57,4.0,40
1131,4.0,13
701,4.0,10
1143,4.0,15
430,4.0,93
601,4.0,20
656,4.0,44
512,4.0,57
494,4.0,56
505,4.0,68
8,3.9954337899543377,219
523,3.9939024390243905,164
705,3.9927007299270074,137
205,3.9926470588235294,136
242,3.9914529914529915,117
156,3.9864864864864864,148
213,3.985074626865672,134
482,3.984375,128
529,3.978494623655914,93
921,3.9782608695652173,46
607,3.9696969696969697,66
135,3.969111969111969,259
516,3.9682539682539684,63
1019,3.967741935483871,31
14,3.9672131147540983,183
1137,3.9655172413793105,29
297,3.96,50
19,3.9565217391304346,69
499,3.9516129032258065,62
182,3.9513274336283186,226
435,3.949074074074074,216
306,3.9479166666666665,96
176,3.9471830985915495,284
30,3.945945945945946,37
208,3.945,200
811,3.9444444444444446,18
510,3.9421487603305785,121
612,3.9411764705882355,34
86,3.94,150
429,3.9381443298969074,97
936,3.9375,32
481,3.9365079365079363,63
736,3.9358974358974357,78
246,3.935483870967742,124
195,3.9335548172757475,301
608,3.933333333333333,30
28,3.931159420289855,276
210,3.930513595166163,331
707,3.9285714285714284,70
269,3.926984126984127,315
945,3.925,40
915,3.923076923076923,13
531,3.9224806201550386,129
837,3.92,25
193,3.917197452229299,157
863,3.9166666666666665,24
196,3.9163346613545817,251
211,3.912621359223301,206
653,3.911764705882353,34
317,3.911764705882353,102
514,3.911111111111111,180
216,3.910344827586207,290
179,3.909502262443439,221
87,3.9057971014492754,138
209,3.905759162303665,191
663,3.9051724137931036,116
500,3.903225806451613,31
137,3.9005847953216373,171
1269,3.9,10
632,3.896551724137931,58
9,3.8963210702341136,299
813,3.892857142857143,56
652,3.888888888888889,90
1020,3.8857142857142857,35
475,3.884,250
655,3.881057268722467,227
1,3.8783185840707963,452
171,3.876923076923077,65
238,3.875,256
745,3.875,16
144,3.8724279835390947,243
133,3.871345029239766,171
646,3.8684210526315788,38
203,3.868131868131868,182
1451,3.8666666666666667,15
835,3.8666666666666667,15
61,3.864406779661017,59
492,3.864406779661017,59
265,3.8634361233480177,227
177,3.8613138686131387,137
463,3.859154929577465,71
1084,3.857142857142857,21
853,3.857142857142857,14
506,3.8555555555555556,90
750,3.8548387096774195,124
735,3.854014598540146,137
69,3.853582554517134,321
509,3.8512396694214877,121
11,3.847457627118644,236
1149,3.8461538461538463,26
497,3.838235294117647,68
186,3.8366533864541834,251
434,3.8358208955223883,67
204,3.834285714285714,350
1124,3.8333333333333335,12
423,3.8333333333333335,300
521,3.8333333333333335,120
902,3.8333333333333335,42
856,3.8333333333333335,36
10,3.831460674157303,89
526,3.8306451612903225,124
150,3.828025477707006,157
200,3.825242718446602,206
116,3.824,125
922,3.823529411764706,34
129,3.8217054263565893,129
504,3.819672131147541,122
1073,3.8181818181818183,66
207,3.8181818181818183,66
428,3.8181818181818183,121
175,3.8173076923076925,208
507,3.816326530612245,98
485,3.816,125
1021,3.8157894736842106,38
228,3.8155737704918034,244
645,3.814814814814815,27
95,3.8127853881278537,219
443,3.808641975308642,162
126,3.804123711340206,97
42,3.804054054054054,148
462,3.804054054054054,148
258,3.8035363457760316,509
293,3.802721088435374,147
1193,3.8,10
969,3.8,75
7,3.798469387755102,392
486,3.796875,64
97,3.79296875,256
684,3.7928994082840237,169
268,3.792156862745098,255
588,3.792079207920792,202
467,3.7916666666666665,48
919,3.7916666666666665,96
491,3.791044776119403,67
32,3.7901234567901234,81
1103,3.789473684210526,19
958,3.7857142857142856,14
153,3.785425101214575,247
71,3.7818181818181817,220
15,3.7781569965870307,293
617,3.7777777777777777,18
469,3.7761194029850746,67
234,3.775,280
638,3.772727272727273,44
896,3.772727272727273,44
644,3.7714285714285714,35
522,3.7714285714285714,35
1101,3.77027027027027,74
432,3.7701149425287355,174
517,3.769230769230769,91
52,3.769230769230769,91
909,3.769230769230769,13
836,3.769230769230769,26
298,3.768041237113402,194
143,3.765765765765766,222
660,3.764705882352941,153
202,3.7642857142857142,280
1121,3.761904761904762,21
459,3.75,24
634,3.75,24
1062,3.75,12
154,3.7471264367816093,174
257,3.745874587458746,303
614,3.7450980392156863,51
425,3.7411764705882353,85
1070,3.740740740740741,27
115,3.7333333333333334,15
221,3.72972972972973,74
855,3.727272727272727,66
847,3.727272727272727,55
131,3.7263157894736842,95
419,3.7247191011235956,178
93,3.7232142857142856,112
378,3.722772277227723,101
968,3.7222222222222223,18
792,3.7209302325581395,86
82,3.7203065134099615,261
283,3.7175141242937855,177
262,3.712121212121212,66
237,3.7109375,384
99,3.7093023255813953,172
753,3.7083333333333335,24
1286,3.7058823529411766,17
55,3.704697986577181,149
224,3.7045454545454546,44
502,3.7017543859649122,57
602,3.7,50
639,3.7,40
215,3.69811320754717,212
276,3.697986577181208,298
117,3.693121693121693,378
157,3.6929133858267718,127
253,3.6923076923076925,26
900,3.6904761904761907,42
1098,3.6904761904761907,42
