23:55:15 : Epoch: 1
23:55:16 : Epoch 0001 | Step 0005 / 2968 | Loss 2.2324 | Time 1.2873
23:55:17 : Epoch 0001 | Step 0010 / 2968 | Loss 1.9588 | Time 2.5416
23:55:18 : Epoch 0001 | Step 0015 / 2968 | Loss 1.8453 | Time 3.7648
01:12:19 : Epoch: 1
01:12:21 : Epoch 0001 | Step 0005 / 2968 | Loss 2.1638 | Time 1.3583
01:12:22 : Epoch 0001 | Step 0010 / 2968 | Loss 1.9813 | Time 2.5956
01:12:23 : Epoch 0001 | Step 0015 / 2968 | Loss 1.8710 | Time 3.8349
01:12:24 : Epoch 0001 | Step 0020 / 2968 | Loss 1.7763 | Time 5.1023
01:12:26 : Epoch 0001 | Step 0025 / 2968 | Loss 1.7686 | Time 6.4026
01:12:27 : Epoch 0001 | Step 0030 / 2968 | Loss 1.7410 | Time 7.6554
01:12:28 : Epoch 0001 | Step 0035 / 2968 | Loss 1.7151 | Time 8.8877
01:12:29 : Epoch 0001 | Step 0040 / 2968 | Loss 1.6915 | Time 10.1339
01:12:31 : Epoch 0001 | Step 0045 / 2968 | Loss 1.6712 | Time 11.3741
01:12:32 : Epoch 0001 | Step 0050 / 2968 | Loss 1.6577 | Time 12.6060
01:12:33 : Epoch 0001 | Step 0055 / 2968 | Loss 1.6487 | Time 13.8422
01:12:34 : Epoch 0001 | Step 0060 / 2968 | Loss 1.6383 | Time 15.0760
01:12:36 : Epoch 0001 | Step 0065 / 2968 | Loss 1.6292 | Time 16.3185
01:12:37 : Epoch 0001 | Step 0070 / 2968 | Loss 1.6273 | Time 17.5628
01:12:38 : Epoch 0001 | Step 0075 / 2968 | Loss 1.6204 | Time 18.7971
01:12:39 : Epoch 0001 | Step 0080 / 2968 | Loss 1.6091 | Time 20.0454
01:12:41 : Epoch 0001 | Step 0085 / 2968 | Loss 1.6058 | Time 21.3337
01:12:42 : Epoch 0001 | Step 0090 / 2968 | Loss 1.5987 | Time 22.5670
01:12:43 : Epoch 0001 | Step 0095 / 2968 | Loss 1.5953 | Time 23.8223
01:12:44 : Epoch 0001 | Step 0100 / 2968 | Loss 1.5931 | Time 25.0506
01:12:45 : Epoch 0001 | Step 0105 / 2968 | Loss 1.5915 | Time 26.2858
01:12:47 : Epoch 0001 | Step 0110 / 2968 | Loss 1.5846 | Time 27.5370
01:12:48 : Epoch 0001 | Step 0115 / 2968 | Loss 1.5793 | Time 28.7773
01:12:49 : Epoch 0001 | Step 0120 / 2968 | Loss 1.5782 | Time 30.0331
01:12:50 : Epoch 0001 | Step 0125 / 2968 | Loss 1.5745 | Time 31.2600
01:12:52 : Epoch 0001 | Step 0130 / 2968 | Loss 1.5719 | Time 32.5123
01:12:53 : Epoch 0001 | Step 0135 / 2968 | Loss 1.5695 | Time 33.7586
01:12:54 : Epoch 0001 | Step 0140 / 2968 | Loss 1.5659 | Time 34.9969
01:12:55 : Epoch 0001 | Step 0145 / 2968 | Loss 1.5673 | Time 36.2664
01:12:57 : Epoch 0001 | Step 0150 / 2968 | Loss 1.5661 | Time 37.5447
01:12:58 : Epoch 0001 | Step 0155 / 2968 | Loss 1.5631 | Time 38.7940
01:12:59 : Epoch 0001 | Step 0160 / 2968 | Loss 1.5609 | Time 40.1003
01:13:01 : Epoch 0001 | Step 0165 / 2968 | Loss 1.5603 | Time 41.3826
01:13:02 : Epoch 0001 | Step 0170 / 2968 | Loss 1.5590 | Time 42.6388
01:13:03 : Epoch 0001 | Step 0175 / 2968 | Loss 1.5567 | Time 43.8781
01:13:04 : Epoch 0001 | Step 0180 / 2968 | Loss 1.5567 | Time 45.1324
01:13:06 : Epoch 0001 | Step 0185 / 2968 | Loss 1.5580 | Time 46.3827
01:13:07 : Epoch 0001 | Step 0190 / 2968 | Loss 1.5560 | Time 47.6240
01:13:08 : Epoch 0001 | Step 0195 / 2968 | Loss 1.5539 | Time 48.8743
01:13:09 : Epoch 0001 | Step 0200 / 2968 | Loss 1.5530 | Time 50.1175
01:13:11 : Epoch 0001 | Step 0205 / 2968 | Loss 1.5514 | Time 51.3858
01:13:12 : Epoch 0001 | Step 0210 / 2968 | Loss 1.5511 | Time 52.6401
01:13:13 : Epoch 0001 | Step 0215 / 2968 | Loss 1.5497 | Time 53.8874
01:13:14 : Epoch 0001 | Step 0220 / 2968 | Loss 1.5475 | Time 55.1337
01:13:16 : Epoch 0001 | Step 0225 / 2968 | Loss 1.5469 | Time 56.3769
01:13:17 : Epoch 0001 | Step 0230 / 2968 | Loss 1.5468 | Time 57.6312
01:13:18 : Epoch 0001 | Step 0235 / 2968 | Loss 1.5465 | Time 58.8735
01:13:19 : Epoch 0001 | Step 0240 / 2968 | Loss 1.5459 | Time 60.1228
01:13:21 : Epoch 0001 | Step 0245 / 2968 | Loss 1.5455 | Time 61.3801
01:13:22 : Epoch 0001 | Step 0250 / 2968 | Loss 1.5453 | Time 62.6243
01:13:23 : Epoch 0001 | Step 0255 / 2968 | Loss 1.5424 | Time 63.8676
01:13:24 : Epoch 0001 | Step 0260 / 2968 | Loss 1.5408 | Time 65.1219
01:13:26 : Epoch 0001 | Step 0265 / 2968 | Loss 1.5389 | Time 66.3692
01:13:27 : Epoch 0001 | Step 0270 / 2968 | Loss 1.5366 | Time 67.6397
01:13:28 : Epoch 0001 | Step 0275 / 2968 | Loss 1.5369 | Time 68.9100
01:13:29 : Epoch 0001 | Step 0280 / 2968 | Loss 1.5361 | Time 70.1923
01:13:31 : Epoch 0001 | Step 0285 / 2968 | Loss 1.5353 | Time 71.4546
01:13:32 : Epoch 0001 | Step 0290 / 2968 | Loss 1.5332 | Time 72.7039
01:13:33 : Epoch 0001 | Step 0295 / 2968 | Loss 1.5318 | Time 73.9552
01:13:34 : Epoch 0001 | Step 0300 / 2968 | Loss 1.5314 | Time 75.1934
01:13:36 : Epoch 0001 | Step 0305 / 2968 | Loss 1.5303 | Time 76.4407
01:13:37 : Epoch 0001 | Step 0310 / 2968 | Loss 1.5293 | Time 77.6875
01:13:38 : Epoch 0001 | Step 0315 / 2968 | Loss 1.5278 | Time 78.9368
01:13:39 : Epoch 0001 | Step 0320 / 2968 | Loss 1.5262 | Time 80.2201
01:13:41 : Epoch 0001 | Step 0325 / 2968 | Loss 1.5272 | Time 81.4865
01:13:42 : Epoch 0001 | Step 0330 / 2968 | Loss 1.5275 | Time 82.7628
01:13:43 : Epoch 0001 | Step 0335 / 2968 | Loss 1.5266 | Time 84.0081
01:13:44 : Epoch 0001 | Step 0340 / 2968 | Loss 1.5258 | Time 85.2543
01:13:46 : Epoch 0001 | Step 0345 / 2968 | Loss 1.5241 | Time 86.5086
01:13:47 : Epoch 0001 | Step 0350 / 2968 | Loss 1.5218 | Time 87.7619
01:13:48 : Epoch 0001 | Step 0355 / 2968 | Loss 1.5221 | Time 89.0122
01:13:49 : Epoch 0001 | Step 0360 / 2968 | Loss 1.5219 | Time 90.2595
01:13:51 : Epoch 0001 | Step 0365 / 2968 | Loss 1.5211 | Time 91.5037
01:13:52 : Epoch 0001 | Step 0370 / 2968 | Loss 1.5205 | Time 92.7500
01:13:53 : Epoch 0001 | Step 0375 / 2968 | Loss 1.5194 | Time 93.9933
01:13:54 : Epoch 0001 | Step 0380 / 2968 | Loss 1.5186 | Time 95.2406
01:13:56 : Epoch 0001 | Step 0385 / 2968 | Loss 1.5181 | Time 96.4949
01:13:57 : Epoch 0001 | Step 0390 / 2968 | Loss 1.5173 | Time 97.7421
01:13:58 : Epoch 0001 | Step 0395 / 2968 | Loss 1.5163 | Time 98.9844
01:13:59 : Epoch 0001 | Step 0400 / 2968 | Loss 1.5152 | Time 100.2377
01:14:01 : Epoch 0001 | Step 0405 / 2968 | Loss 1.5150 | Time 101.4900
01:14:02 : Epoch 0001 | Step 0410 / 2968 | Loss 1.5140 | Time 102.7313
01:14:03 : Epoch 0001 | Step 0415 / 2968 | Loss 1.5130 | Time 103.9625
