22:28:06 : Epoch: 1
22:28:33 : Epoch: 1
22:28:55 : Epoch: 1
22:29:16 : Epoch: 1
22:30:32 : Epoch: 1
22:30:53 : Epoch: 1
22:31:24 : Epoch: 1
22:31:51 : Epoch: 1
22:32:48 : Epoch: 1
22:33:09 : Epoch: 1
22:36:23 : Epoch: 1
22:37:12 : Epoch: 1
22:39:02 : Epoch: 1
22:39:03 : Epoch 0001 | Step 0005 / 2968 | Loss 3.1306 | Time 1.2593
22:39:05 : Epoch 0001 | Step 0010 / 2968 | Loss 3.2097 | Time 2.4103
22:39:06 : Epoch 0001 | Step 0015 / 2968 | Loss 3.0689 | Time 3.5371
22:39:07 : Epoch 0001 | Step 0020 / 2968 | Loss 3.1134 | Time 4.6590
22:39:08 : Epoch 0001 | Step 0025 / 2968 | Loss 3.1453 | Time 5.7964
22:39:09 : Epoch 0001 | Step 0030 / 2968 | Loss 3.1185 | Time 6.9107
22:39:10 : Epoch 0001 | Step 0035 / 2968 | Loss 3.0774 | Time 8.0089
22:39:11 : Epoch 0001 | Step 0040 / 2968 | Loss 2.9789 | Time 9.1102
22:39:12 : Epoch 0001 | Step 0045 / 2968 | Loss 2.9262 | Time 10.2234
22:39:14 : Epoch 0001 | Step 0050 / 2968 | Loss 2.9066 | Time 11.3137
22:39:15 : Epoch 0001 | Step 0055 / 2968 | Loss 2.8977 | Time 12.4199
22:39:16 : Epoch 0001 | Step 0060 / 2968 | Loss 2.8844 | Time 13.5047
22:39:17 : Epoch 0001 | Step 0065 / 2968 | Loss 2.8106 | Time 14.5900
22:39:18 : Epoch 0001 | Step 0070 / 2968 | Loss 2.8046 | Time 15.7042
22:39:19 : Epoch 0001 | Step 0075 / 2968 | Loss 2.7553 | Time 16.8015
22:39:20 : Epoch 0001 | Step 0080 / 2968 | Loss 2.7006 | Time 17.8997
22:39:21 : Epoch 0001 | Step 0085 / 2968 | Loss 2.6719 | Time 19.0048
22:39:22 : Epoch 0001 | Step 0090 / 2968 | Loss 2.6351 | Time 20.1001
22:39:23 : Epoch 0001 | Step 0095 / 2968 | Loss 2.6112 | Time 21.2193
22:39:25 : Epoch 0001 | Step 0100 / 2968 | Loss 2.5853 | Time 22.3096
22:39:26 : Epoch 0001 | Step 0105 / 2968 | Loss 2.5413 | Time 23.4300
22:39:27 : Epoch 0001 | Step 0110 / 2968 | Loss 2.5118 | Time 24.5415
22:39:28 : Epoch 0001 | Step 0115 / 2968 | Loss 2.4867 | Time 25.6343
22:39:29 : Epoch 0001 | Step 0120 / 2968 | Loss 2.4552 | Time 26.7265
22:39:30 : Epoch 0001 | Step 0125 / 2968 | Loss 2.4219 | Time 27.9148
22:39:31 : Epoch 0001 | Step 0130 / 2968 | Loss 2.3918 | Time 29.0174
22:39:32 : Epoch 0001 | Step 0135 / 2968 | Loss 2.3620 | Time 30.1177
22:39:33 : Epoch 0001 | Step 0140 / 2968 | Loss 2.3298 | Time 31.2069
22:39:35 : Epoch 0001 | Step 0145 / 2968 | Loss 2.3108 | Time 32.3402
22:39:36 : Epoch 0001 | Step 0150 / 2968 | Loss 2.2937 | Time 33.4435
22:39:37 : Epoch 0001 | Step 0155 / 2968 | Loss 2.2669 | Time 34.5397
22:39:38 : Epoch 0001 | Step 0160 / 2968 | Loss 2.2588 | Time 35.6510
22:39:39 : Epoch 0001 | Step 0165 / 2968 | Loss 2.2345 | Time 36.7467
22:39:40 : Epoch 0001 | Step 0170 / 2968 | Loss 2.2186 | Time 37.8450
22:39:41 : Epoch 0001 | Step 0175 / 2968 | Loss 2.1973 | Time 38.9909
22:39:42 : Epoch 0001 | Step 0180 / 2968 | Loss 2.1837 | Time 40.1151
22:39:43 : Epoch 0001 | Step 0185 / 2968 | Loss 2.1668 | Time 41.2244
22:39:45 : Epoch 0001 | Step 0190 / 2968 | Loss 2.1551 | Time 42.3320
22:39:46 : Epoch 0001 | Step 0195 / 2968 | Loss 2.1425 | Time 43.4403
22:39:47 : Epoch 0001 | Step 0200 / 2968 | Loss 2.1270 | Time 44.5465
22:39:48 : Epoch 0001 | Step 0205 / 2968 | Loss 2.1158 | Time 45.6407
22:39:49 : Epoch 0001 | Step 0210 / 2968 | Loss 2.1058 | Time 46.7370
22:39:50 : Epoch 0001 | Step 0215 / 2968 | Loss 2.0926 | Time 47.8311
22:39:51 : Epoch 0001 | Step 0220 / 2968 | Loss 2.0744 | Time 48.9792
22:39:52 : Epoch 0001 | Step 0225 / 2968 | Loss 2.0641 | Time 50.0889
22:39:53 : Epoch 0001 | Step 0230 / 2968 | Loss 2.0557 | Time 51.2391
22:39:55 : Epoch 0001 | Step 0235 / 2968 | Loss 2.0465 | Time 52.3379
22:39:56 : Epoch 0001 | Step 0240 / 2968 | Loss 2.0393 | Time 53.4411
22:39:57 : Epoch 0001 | Step 0245 / 2968 | Loss 2.0265 | Time 54.5328
22:39:58 : Epoch 0001 | Step 0250 / 2968 | Loss 2.0143 | Time 55.6430
22:39:59 : Epoch 0001 | Step 0255 / 2968 | Loss 2.0028 | Time 56.8046
22:40:00 : Epoch 0001 | Step 0260 / 2968 | Loss 1.9957 | Time 57.9459
22:40:01 : Epoch 0001 | Step 0265 / 2968 | Loss 1.9832 | Time 59.0481
22:40:02 : Epoch 0001 | Step 0270 / 2968 | Loss 1.9730 | Time 60.2414
22:40:04 : Epoch 0001 | Step 0275 / 2968 | Loss 1.9603 | Time 61.3327
22:40:05 : Epoch 0001 | Step 0280 / 2968 | Loss 1.9512 | Time 62.4285
22:40:06 : Epoch 0001 | Step 0285 / 2968 | Loss 1.9398 | Time 63.5167
22:40:07 : Epoch 0001 | Step 0290 / 2968 | Loss 1.9295 | Time 64.6126
22:40:08 : Epoch 0001 | Step 0295 / 2968 | Loss 1.9236 | Time 65.7120
22:40:09 : Epoch 0001 | Step 0300 / 2968 | Loss 1.9196 | Time 66.8092
22:40:10 : Epoch 0001 | Step 0305 / 2968 | Loss 1.9116 | Time 67.9185
22:40:11 : Epoch 0001 | Step 0310 / 2968 | Loss 1.9061 | Time 69.0342
22:40:12 : Epoch 0001 | Step 0315 / 2968 | Loss 1.8974 | Time 70.2132
22:40:14 : Epoch 0001 | Step 0320 / 2968 | Loss 1.8871 | Time 71.3105
22:40:15 : Epoch 0001 | Step 0325 / 2968 | Loss 1.8774 | Time 72.4132
